Title,Year,RTScore,BoxOfficeGross
Toy Story,1995,100,373600000
A Bug's Life,1998,92,363300000
Toy Story 2,1999,100,497400000
Monster's Inc.,2001,96,525400000
Finding Nemo,2003,99,940300000
The Incredibles,2004,97,633000000
Cars,2006,74,462200000
Ratatouille,2007,96,620700000
WALL-E,2008,96,533300000
Up,2209,98,735100000
Toy Story 3,2010,99,1067000000
Cars 2,2011,40,562100000
Brave,2012,79,540400000
Monsters University,2013,79,744200000
Inside Out,2015,98,857600000
The Good Dinosaur,2015,76,332200000
Finding Dory,2016,94,1028600000
Cars 3,2017,68,383900000
Coco,2017,97,807000000
Incredibles 2,2018,94,1231900000